Contract,Type,Address,Owner,ProxyType,ProxyAdmin,ProxyAdminType,ProxyAdminOwner,Implementation,Beacon,BeaconOwner,AutoUpgrade,AccessControl,ACOwner,ACType,LockStatus
AppLock,Aux,0xB19B9df023a9D372728cFc70847DBBB9AD59337f,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,-,-,-,-,-,-,-,-,LOCKED
AccountLock,Aux,0x793e4aeB8fd54f5Eb2B185f25F7767D417Ba5B94,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,-,-,-,-,-,-,-,-,LOCKED
FeedLock,Aux,0xA22DC11ED96Ce8f6c26a2361926910d5b8c56299,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,-,-,-,-,-,-,-,-,LOCKED
GraphLock,Aux,0x64ab11f8bAe0f75f071EfcE027E8AB3633252902,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,-,-,-,-,-,-,-,-,LOCKED
GroupLock,Aux,0xe6939785c7b36394B35e72E13B86F17b5223B75d,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,-,-,-,-,-,-,-,-,LOCKED
NamespaceLock,Aux,0x8d2eb35e3f4c10fEe90640C6051064426f368d16,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,-,-,-,-,-,-,-,-,LOCKED
AccessControlLock,Aux,0xC00c2b2F3b7e6DAe4a45823361c460c5735Fc984,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,-,-,-,-,-,-,-,-,LOCKED
AppBeacon,Beacon,0xF968b41ee7BF6f8bFFB71CD38905f9943Ff4ffbB,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,-,0xBF3773B6a2B4ac8c1D3e38B6f362bD4B74398b6C,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,-,-
AccountBeacon,Beacon,0x677D8BEe894ae646Ceb1cfCe7dB16de2ef2792e5,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,-,0x6b7CD0beC10f8F7D3ECD8159f978a42ab97Ac4cA,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,-,-
FeedBeacon,Beacon,0xe8Cb8DA8d2Ea4C5A40E6d8D4F3181AfdB9409D66,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,-,0x35c283825A8157362A1E2e2986C7E4ce2A9B742b,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,-,-
GraphBeacon,Beacon,0x3195c60A6869C3614949EE02eE21116891CF6c17,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,-,0xf1E38F8C92Ef37585BceF08FbD59e64f5a4B1871,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,-,-
