Contract,Type,DirectOwner,ProxyAdmin,ProxyAdminType,ProxyAdminOwner,UltimateController,ControlPath
AppLock,Aux,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,Direct Owner
AccountLock,Aux,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,Direct Owner
FeedLock,Aux,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,Direct Owner
GraphLock,Aux,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,Direct Owner
GroupLock,Aux,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,Direct Owner
NamespaceLock,Aux,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,Direct Owner
AccessControlLock,Aux,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,Direct Owner
AppBeacon,Beacon,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,Direct Owner
AccountBeacon,Beacon,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,Direct Owner
FeedBeacon,Beacon,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,Direct Owner
GraphBeacon,Beacon,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,Direct Owner
GroupBeacon,Beacon,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,Direct Owner
NamespaceBeacon,Beacon,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,-,-,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,Direct Owner
AccessControlFactory,Factory,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
AccountFactory,Factory,-,0xa36Ba0Fd8cD35266A5E6CEdfB7E969BeEED32d64,contract,-,0xa36Ba0Fd8cD35266A5E6CEdfB7E969BeEED32d64,ProxyAdmin (Contract - no owner)
AppFactory,Factory,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
FeedFactory,Factory,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
GraphFactory,Factory,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
GroupFactory,Factory,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
NamespaceFactory,Factory,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
LensFactory,Factory,-,0xa36Ba0Fd8cD35266A5E6CEdfB7E969BeEED32d64,contract,0xa36Ba0Fd8cD35266A5E6CEdfB7E969BeEED32d64,0xa36Ba0Fd8cD35266A5E6CEdfB7E969BeEED32d64,ProxyAdmin Owner
LensGlobalFeed,Primitive,-,0x779637148bF919fcAA886b154033375e0E58E5F3,contract,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
LensGlobalGraph,Primitive,-,0x5eb4A88e061205Be727E7c8EEFD48EA14774aCb0,contract,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
LensGlobalNamespace,Primitive,-,0x576Cac536B1D1Cf0c6aB0f8d711aa79539F155CE,contract,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
ActionHub,Aux,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
LensFees,Aux,-,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
TippingAccountAction,Action,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
TippingPostAction,Action,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
SimpleCollectAction,Action,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
AccountBlockingRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
AdditionRemovalPidGroupRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
BanMemberGroupRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
GroupGatedFeedRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
UsernameLengthNamespaceRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
UsernameReservedNamespaceRule,Rule,0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,EOA,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ProxyAdmin Owner
