Contract,Type,Address,ProxyType,ProxyAdmin,ProxyAdminOwner,Implementation,ImplBytecodeHash,Beacon,BeaconOwner,BeaconVersion,AutoUpgrade
AccessControlFactory,Factory,0x0d028419c270C2d366929f459418a4905D1B778F,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x2c87697FACd319959BEA999dd2cC7d27342F3554,0x0100009bc5e03a9d6dbc17603b260f101a56edb4bf3813c234ec0902fc05871a,-,-,-,-
AccountFactory,Factory,0x26C7fd63B06deb4F9E4B5955D540767b9Ac7bbaa,EIP1967,0xa36Ba0Fd8cD35266A5E6CEdfB7E969BeEED32d64,-,0xE238cEFc68F9CD55061a8Ab7E339cF9178dFf55B,0x0100013fecb801d0a470f042e48e5716171db31795d00ed6ce66549993279636,-,-,-,-
AppFactory,Factory,0xB3b7502C47E16a1E3c6d660b73006f45Ec327B0B,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x7599371450F2D8e0d47a9A1cceba263c07326500,0x0100012959d510e16f88f996e427e147a2076c10571d02c7fd38399161162e23,-,-,-,-
FeedFactory,Factory,0x591c6e036a6bC92C6bF0d1dB991D06E74C2B9a6A,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xB86fD4e2e4B6497Be2124060E8876F6e2270D517,0x0100018f9fb058b9904ed7a35e8ef8a06d4145e472e4da91176b41909e90987f,-,-,-,-
GraphFactory,Factory,0x837E95c3A69Cd6efa3eCDE87A3a07801AAB25Ba0,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x6D47B89d2b42680091C71c2B518e497727D60a5A,0x0100018f400567035955df35dae5f2c5a6f3cf39a8f933b5cc9a0f19d4b79e43,-,-,-,-
GroupFactory,Factory,0x9810C41e805164f30b58395b2Af976B3229b0CE6,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xd789934b2200ac1fC54Ba89fa24E2aE7BCEf6Be5,0x010001910c4a1821d9e322fa4ecae90b94aef9ec31f2601a6b4006eaf686ccbb,-,-,-,-
NamespaceFactory,Factory,0x3155ccbeefbA266a4B6060fB1F9d4b8591d1De3F,EIP1967,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x840C2394546C410AAe6D14D127CF8f14B5ed041C,0x010001e171d1591de05bb735d42ea8bae8cda712945ea8e69a6137afaae32690,-,-,-,-
LensFactory,Factory,0x1fa75D26819Ac733bf7B1C1B36C3F8aEF32d2Cc0,EIP1967,0xa36Ba0Fd8cD35266A5E6CEdfB7E969BeEED32d64,0xa36Ba0Fd8cD35266A5E6CEdfB7E969BeEED32d64,0xd28bBAd2Cd8047d09cEB72FDE7f372e89DC3525F,0x01000adde0971c1be05ffeaa09a4e0cecb0daef50614fb6315f335a439423c2e,-,-,-,-
LensGlobalFeed,Primitive,0xcB5E109FFC0E15565082d78E68dDDf2573703580,BeaconProxy,0x779637148bF919fcAA886b154033375e0E58E5F3,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0x35c283825A8157362A1E2e2986C7E4ce2A9B742b,0x010012e169a8a9d84bc5f1a23d1d795fd3f5a65a85b042ec7d28f56a4e15999e,0xe8Cb8DA8d2Ea4C5A40E6d8D4F3181AfdB9409D66,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,10001,true
LensGlobalGraph,Primitive,0x433025d9718302E7B2e1853D712d96F00764513F,BeaconProxy,0x5eb4A88e061205Be727E7c8EEFD48EA14774aCb0,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,0xf1E38F8C92Ef37585BceF08FbD59e64f5a4B1871,0x01000b750b0b373c5a40ede6620146a69c27bb13eaab9a9dfaaa9d0ed2cdac35,0x3195c60A6869C3614949EE02eE21116891CF6c17,0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,10001,true
