Controller,Contract,ContractType,ControlVia,TotalControlled
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,AppLock,Aux,Contract Owner,60
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,AccountLock,Aux,Contract Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,FeedLock,Aux,Contract Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,GraphLock,Aux,Contract Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,GroupLock,Aux,Contract Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,NamespaceLock,Aux,Contract Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,AccessControlLock,Aux,Contract Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,AppBeacon,Beacon,Contract Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,AppBeacon,Beacon,Beacon Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,AccountBeacon,Beacon,Contract Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,AccountBeacon,Beacon,Beacon Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,FeedBeacon,Beacon,Contract Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,FeedBeacon,Beacon,Beacon Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,GraphBeacon,Beacon,Contract Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,GraphBeacon,Beacon,Beacon Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,GroupBeacon,Beacon,Contract Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,GroupBeacon,Beacon,Beacon Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,NamespaceBeacon,Beacon,Contract Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,NamespaceBeacon,Beacon,Beacon Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,AccessControlFactory,Factory,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,AppFactory,Factory,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,FeedFactory,Factory,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,GraphFactory,Factory,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,GroupFactory,Factory,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,NamespaceFactory,Factory,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,LensGlobalFeed,Primitive,ProxyAdmin Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,LensGlobalFeed,Beacon,Beacon Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,LensGlobalFeed,AccessControl,AC Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,LensGlobalGraph,Primitive,ProxyAdmin Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,LensGlobalGraph,Beacon,Beacon Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,LensGlobalGraph,AccessControl,AC Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,LensGlobalNamespace,Primitive,ProxyAdmin Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,LensGlobalNamespace,Beacon,Beacon Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,LensGlobalNamespace,AccessControl,AC Owner,-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,ActionHub,Aux,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,LensFees,Aux,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,TippingAccountAction,Action,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,TippingPostAction,Action,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,SimpleCollectAction,Action,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,AccountBlockingRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,AdditionRemovalPidGroupRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,BanMemberGroupRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,GroupGatedFeedRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,UsernameLengthNamespaceRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,UsernameReservedNamespaceRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,UsernameSimpleCharsetNamespaceRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,SimplePaymentFeedRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,TokenGatedFeedRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,TokenGatedGraphRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,FollowersOnlyPostRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,GroupGatedGraphRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,SimplePaymentFollowRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,TokenGatedFollowRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,MembershipApprovalGroupRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,SimplePaymentGroupRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,TokenGatedGroupRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,TokenGatedNamespaceRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,UsernamePricePerLengthNamespaceRule,Rule,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,LensNativePaymentHelper,Aux,ProxyAdmin (EOA),-
0xaAFa8246dE0ae0e7b81125db325e9B39BED43B49,TokenDistributor,Misc,ProxyAdmin (EOA),-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,TippingAccountAction,Action,Contract Owner,22
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,TippingPostAction,Action,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,SimpleCollectAction,Action,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,AccountBlockingRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,AdditionRemovalPidGroupRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,BanMemberGroupRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,GroupGatedFeedRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,UsernameLengthNamespaceRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,UsernameReservedNamespaceRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,UsernameSimpleCharsetNamespaceRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,SimplePaymentFeedRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,TokenGatedFeedRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,TokenGatedGraphRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,FollowersOnlyPostRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,GroupGatedGraphRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,SimplePaymentFollowRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,TokenGatedFollowRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,MembershipApprovalGroupRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,SimplePaymentGroupRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,TokenGatedGroupRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,TokenGatedNamespaceRule,Rule,Contract Owner,-
0xf129e522Edf091d6D66f28429aF41A8F030aaD4c,UsernamePricePerLengthNamespaceRule,Rule,Contract Owner,-
0xa36Ba0Fd8cD35266A5E6CEdfB7E969BeEED32d64,AccountFactory,Factory,ProxyAdmin (Contract),2
0xa36Ba0Fd8cD35266A5E6CEdfB7E969BeEED32d64,LensFactory,Factory,ProxyAdmin Owner,-
0xDA1F6A04fDF31b9B9AD4F6E4cc85Dcf1D5365DA6,TokenDistributor,Misc,Contract Owner,1
